Bacteria,Abs_1,Abs_2,Average_Abs,IAA ,Abs Difference,Day_Tested,Month_Tested,Year_Tested,Genus,Family,,,,
M2,0.054,0.051,0.0525,-3,0.003,20,10,2023,Olleya,Flavobacteriaceae,,,,
M3,0.067,0.066,0.0665,25,0.001,20,10,2023,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
M4,0.064,0.062,0.063,18,0.002,20,10,2023,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
M6,0.065,0.067,0.066,24,0.002,20,10,2023,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
M7,0.054,0.054,0.054,0,0,20,10,2023,Shewanella,Shewanellaceae,,,,
M8.1,0.052,0.052,0.052,-4,0,20,10,2023,Unidentified,NA,,,,
M8.2,0.054,0.054,0.054,0,0,20,10,2023,Psychrobacter,Moraxellaceae,,,,
M9,0.059,0.063,0.061,14,0.004,20,10,2023,Rheinheimera,Chromatiaceae,,,,
M10,0.049,0.055,0.052,-4,0.006,20,10,2023,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
M11,0.055,0.054,0.0545,1,0.001,20,10,2023,Cellulophaga,Flavobacteriaceae,,,,
M12,0.058,0.067,0.0625,17,0.009,20,10,2023,Psychrobacter,Moraxellaceae,,,,
M14,0.063,0.06,0.0615,15,0.003,20,10,2023,Pseudoalteromonas,Pseudoalteromonadaceae,,,,
M1,0.092,0.095,0.0935,56,0.003,27,10,2023,Erythrobacter,Erythrobacteraceae,,,,
M5,0.092,0.1,0.096,60.16666667,0.008,27,10,2023,Unidentified,NA,,,,
M13.2,0.07,0.067,0.0685,14.33333333,0.003,27,10,2023,Sulfitobacter,Rhodobacteraceae,,,,
M15,0.073,0.07,0.0715,19.33333333,0.003,27,10,2023,Shewanella,Shewanellaceae,,,,
M16,0.074,0.072,0.073,21.83333333,0.002,27,10,2023,Maribacter,Flavobacteriaceae,,,,
M17,0.102,0.096,0.099,65.16666667,0.006,27,10,2023,Loktanella,Rhodobacteraceae,,,,
H1,0.061,0.065,0.063,5.166666667,0.004,27,10,2023,Sulfitobacter,Rhodobacteraceae,,,,
H2,0.122,0.127,0.1245,107.6666667,0.005,27,10,2023,Octadecabacter,Rhodobacteraceae,,,,
H4,0.062,0.058,0.06,0.166666667,0.004,27,10,2023,Bacillus pumilus,Bacillaceae,,,,
H5,0.06,0.061,0.0605,1,0.001,27,10,2023,Pantoea,Enterobacteriaceae,,,,
H7A,0.063,0.06,0.0615,-1.5,0.003,6,11,2023,Unidentified,NA,,,,
H7B,0.06,0.058,0.059,-7.75,0.002,6,11,2023,Cellulophaga,Flavobacteriaceae,,,,
H7C,0.064,0.064,0.064,4.75,0,6,11,2023,Unidentified,NA,,,,
H9,0.062,0.062,0.062,-0.25,0,6,11,2023,Litoreibacter,Rhodobacteraceae,,,,
H11,0.064,0.063,0.0635,3.5,0.001,6,11,2023,Bacillus,Bacillaceae,,,,
H12,0.063,0.064,0.0635,3.5,0.001,6,11,2023,Nonlabens,Flavobacteriaceae,,,,
H14,0.064,0.064,0.064,4.75,0,6,11,2023,Altererythrobacter,Erythrobacteraceae,,,,
H15,0.059,0.062,0.0605,-4,0.003,6,11,2023,Roseobacter,Rhodobacteraceae,,,,
H16,0.058,0.059,0.0585,-9,0.001,6,11,2023,Dokdonia,Flavobacteriaceae,,,,
H17,0.056,0.056,0.056,-15.25,0,6,11,2023,Erythrobacter,Erythrobacteraceae,,,,
H18A,0.058,0.056,0.057,-12.75,0.002,6,11,2023,NA,NA,,,,
H18B,0.054,0.057,0.0555,-16.5,0.003,6,11,2023,NA,NA,,,,
H18C,0.056,0.056,0.056,-15.25,0,6,11,2023,NA,NA,,,,
H3,0.049,0.049,0.049,0.666666667,0,10,11,2023,Agrococcus,Microbacteriaceae,,,,
H10,0.05,0.05,0.05,4,0,10,11,2023,Litorimonas,Hyphomonadaceae,,,,
H13,0.058,0.061,0.0595,35.66666667,0.003,10,11,2023,Altererythrobacter,Erythrobacteraceae,,,,
H20,0.051,0.052,0.0515,9,0.001,10,11,2023,Shewanella,Shewanellaceae,,,,
