"Isolate
Identifier",,Genus,"Sample
treatment","Co-culture
Trial","Sample1
Sporophytes #","Sample2
Sporophytes #","Sample3
Sporophytes #","Sample4
Sporophytes #","Sample5
Sporophytes #","Sample6
Sporophytes #","Sample7
Sporophytes #","Sample8
Sporophytes #","Average of
Sporophytes #",control_Sporophytes#,difference,STD,"T.TEST
P-value","Log2
Fold
Change
",sporophyte_direction,Gametophyte_fold_change,gametophyte_direction
H34,H34_1_Arthrobacter,Arthrobacter,BT,1,2,4,NA,NA,NA,NA,NA,NA,3,1.5,1.5,1.414213562,0.116116524,0.678071905,nd,1.163135836,ns_positive
H11,H11_4_Bacillus,Bacillus,BT,4,0,0,1,0,2,0,0,0,0.375,0.125,0.25,0.744023809,0.405131505,0.459431619,nd,0.771925433,nd
H29,H29_1_Bacillus,Bacillus,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,0.872620694,nd
H4,H4_4_Bacillus,Bacillus,BT,4,0,0,0,6,0,0,0,0,0.75,0.125,0.625,2.121320344,0.42485832,0.807354922,nd,-3.920565533,negative
KM18,KM18_2_Bacillus,Bacillus,BT,2,5,3,5,5,8,NA,NA,NA,5.2,13.2,-8,1.788854382,0.000953124,-1.195550809,negative,0.632268215,ns_positive
T11,T11_3_Bacillus,Bacillus,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.04580369,nd
H7B,H7B_1_Cellulophaga,Cellulophaga,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,0.172180975,nd
J13,J13_1_Cellulophaga,Cellulophaga,BT,1,2,3,NA,NA,NA,NA,NA,NA,2.5,1.5,1,0.707106781,0.132418922,0.485426827,nd,0.792767386,nd
M11,M11_1_Cellulophaga,Cellulophaga,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.059706246,ns_positive
T15,T15_3_Cellulophaga,Cellulophaga,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.93332896,positive
T16,T16_3_Cellulophaga,Cellulophaga,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.888782521,positive
T4,T4_3_Cellulophaga,Cellulophaga,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.175086707,nd
T5,T5_3_Cellulophaga,Cellulophaga,BT,3,0,1,0,0,NA,NA,NA,NA,0.25,0.125,0.125,0.5,0.623573522,0.321928095,nd,1.410376122,nd
2Man4,2Man4_1_Colwellia,Colwellia,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,0.207804885,nd
Control,Control_1_Control,Control,Control,1,1,2,1,2,NA,NA,NA,NA,1.5,1.5,0,0.577350269,1,0,nd,0,nd
Control,Control_2_Control,Control,Control,2,12,14,18,12,10,NA,NA,NA,13.2,13.2,0,3.033150178,1,0,nd,0,nd
Control,Control_3_Control,Control,Control,3,0,0,0,0,0,0,1,0,0.125,0.125,0,0.353553391,1,0,nd,0,nd
Control,Control_4_Control,Control,Control,4,0,0,0,0,0,0,0,1,0.125,0.125,0,0.353553391,1,0,nd,0,nd
H16,H16_3_Dokdonia,Dokdonia,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,2.199609026,positive
H17,H17_1_Erythrobacter,Erythrobacter,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.207804885,positive
M1,M1_1_Erythrobacter,Erythrobacter,BT,1,0,7,NA,NA,NA,NA,NA,NA,3.5,1.5,2,4.949747468,0.412119453,0.847996907,nd,0.404841732,nd
T2,T2_3_Erythrobacter,Erythrobacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.73510285,positive
T7,T7_3_Erythrobacter,Erythrobacter,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.301304423,nd
H32,H32_1_Gillisia,Gillisia,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.163135836,ns_positive
KM1,KM1_2_Hellea,Hellea,BT,2,19,19,20,15,10,NA,NA,NA,16.6,13.2,3.4,4.159326869,0.177958847,0.309684499,nd,0.22650853,nd
KM13,KM13_2_Janibacter,Janibacter,BT,2,6,6,8,4,5,NA,NA,NA,5.8,13.2,-7.4,1.483239697,0.00119261,-1.062284278,negative,0.641546029,weak_positive
KM15,KM15_2_Lacinutrix,Lacinutrix,BT,2,16,6,16,15,5,NA,NA,NA,11.6,13.2,-1.6,5.594640292,0.589391954,-0.172467196,nd,0.042644337,nd
*H37A,*H37A_3_Litorimonas,Litorimonas,BT,3,0,2,1,2,NA,NA,NA,NA,1.25,0.125,1.125,0.957427108,0.012224865,1.169925001,positive,-1.146841388,nd
*H37A,*H37A_4_Litorimonas,Litorimonas,BT,4,7,3,14,4,10,4,2,5,6.125,0.125,6,4.051013982,0.00093793,2.832890014,positive,1.664396968,positive
*H37A,*H37A_2_Litorimonas,Litorimonas,BT,2,0,11,11,13,9,NA,NA,NA,8.8,13.2,-4.4,5.118593557,0.136803373,-0.535037275,nd,0.695993813,weak_positive
H10,H10_1_Litorimonas,Litorimonas,BT,1,3,5,NA,NA,NA,NA,NA,NA,4,1.5,2.5,1.414213562,0.029015364,1,weak_positive,0.85025288,nd
M17,M17_1_Loktanella,Loktanella,BT,1,5,1,NA,NA,NA,NA,NA,NA,3,1.5,1.5,2.828427125,0.3125,0.678071905,nd,1.107640723,ns_positive
*M16,*M16_2_Maribacter,Maribacter,BT,2,31,22,22,24,12,NA,NA,NA,22.2,13.2,9,6.797058187,0.026915702,0.708233876,weak_positive,0.709290636,weak_positive
*M16,*M16_3_Maribacter,Maribacter,BT,3,0,3,1,1,NA,NA,NA,NA,1.25,0.125,1.125,1.258305739,0.034287706,1.169925001,weak_positive,2.14172811,positive
