"Isolate
Identifier",,Genus,"Sample
treatment","Co-culture
Trial","Sample1
Sporophytes #","Sample2
Sporophytes #","Sample3
Sporophytes #","Sample4
Sporophytes #","Sample5
Sporophytes #","Sample6
Sporophytes #","Sample7
Sporophytes #","Sample8
Sporophytes #","Average of
Sporophytes #",control_Sporophytes#,difference,STD,"T.TEST
P-value","Log2
Fold
Change
",sporophyte_direction,Gametophyte_fold_change,gametophyte_direction,Gameto_pVal,
H34,H34_1_Arthrobacter,Arthrobacter,BT,1,2,4,NA,NA,NA,NA,NA,NA,3,1.5,1.5,1.414213562,0.116116524,0.678071905,nd,1.163135836,ns_positive,0.050427133,Arthrobacter
H11,H11_4_Bacillus,Bacillus,BT,4,0,0,1,0,2,0,0,0,0.375,0.125,0.25,0.744023809,0.405131505,0.459431619,nd,0.771925433,nd,0.193613128,Bacillus
H29,H29_1_Bacillus,Bacillus,BT,1,1,0,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,0.872620694,nd,0.132598395,Bacillus
H4,H4_4_Bacillus,Bacillus,BT,4,0,0,0,6,0,0,0,0,0.75,0.125,0.625,2.121320344,0.42485832,0.807354922,nd,-3.920565533,negative,6.65532E-05,Bacillus
KM18,KM18_2_Bacillus,Bacillus,BT,2,5,3,5,5,8,NA,NA,NA,5.2,13.2,-8,1.788854382,0.000953124,-1.195550809,negative,0.632268215,ns_positive,0.05448454,Bacillus
T11,T11_3_Bacillus,Bacillus,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.04580369,nd,0.344961528,Bacillus
H7B,H7B_1_Cellulophaga,Cellulophaga,BT,1,0,0,NA,NA,NA,NA,NA,NA,0,1.5,-1.5,0,0.025721421,-1.321928095,negative,0.172180975,nd,0.791852258,Cellulophaga
J13,J13_1_Cellulophaga,Cellulophaga,BT,1,2,3,NA,NA,NA,NA,NA,NA,2.5,1.5,1,0.707106781,0.132418922,0.485426827,nd,0.792767386,nd,0.215849991,Cellulophaga
M11,M11_1_Cellulophaga,Cellulophaga,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,1.059706246,ns_positive,0.083823971,Cellulophaga
T15,T15_3_Cellulophaga,Cellulophaga,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.93332896,positive,0.004211808,Cellulophaga
T16,T16_3_Cellulophaga,Cellulophaga,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.888782521,positive,0.006914678,Cellulophaga
T4,T4_3_Cellulophaga,Cellulophaga,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,1.175086707,nd,0.228194445,Cellulophaga
T5,T5_3_Cellulophaga,Cellulophaga,BT,3,0,1,0,0,NA,NA,NA,NA,0.25,0.125,0.125,0.5,0.623573522,0.321928095,nd,1.410376122,nd,0.125177544,Cellulophaga
2Man4,2Man4_1_Colwellia,Colwellia,BT,1,0,3,NA,NA,NA,NA,NA,NA,1.5,1.5,0,2.121320344,1,0,nd,0.207804885,nd,0.78067255,Colwellia
Control,Control_1_Control,Control,Control,1,1,2,1,2,NA,NA,NA,NA,1.5,1.5,0,0.577350269,1,0,nd,0,nd,0.37946809,Control
Control,Control_2_Control,Control,Control,2,12,14,18,12,10,NA,NA,NA,13.2,13.2,0,3.033150178,1,0,nd,0,nd,1,Control
Control,Control_3_Control,Control,Control,3,0,0,0,0,0,0,1,0,0.125,0.125,0,0.353553391,1,0,nd,0,nd,1,Control
Control,Control_4_Control,Control,Control,4,0,0,0,0,0,0,0,1,0.125,0.125,0,0.353553391,1,0,nd,0,nd,1,Control
H16,H16_3_Dokdonia,Dokdonia,BT,3,0,0,0,0,NA,NA,NA,NA,0,0.125,-0.125,0,0.505851829,0,nd,2.199609026,positive,0.000786324,Dokdonia
H17,H17_1_Erythrobacter,Erythrobacter,BT,1,0,1,NA,NA,NA,NA,NA,NA,0.5,1.5,-1,0.707106781,0.132418922,-0.736965594,nd,1.207804885,positive,0.043453225,Erythrobacter
