Genus,Relative abundance,Frequency
Litorimonas,0.093205843,0.96969697
Persicirhabdus,0.287916673,0.949494949
Maribacter,0.094898911,0.944444444
Granulosicoccus,0.127080107,0.904040404
Hellea,0.055712305,0.888888889
Cocleimonas,0.072759382,0.797979798
Saprospiraceae,0.077231902,0.722222222
Rubritalea,0.049123538,0.712121212
Colwellia,0.010628747,0.671717172
Rhodobacteraceae,0.012247106,0.656565657
Roseibacillus,0.01638299,0.636363636
Blastopirellula,0.006276682,0.595959596
Ectothiorhodospiraceae,0.01709706,0.590909091
Marixanthomonas,0.007696697,0.555555556
Arenicella,0.004802267,0.545454545
Algitalea,0.00747769,0.525252525
Lewinella,0.002740065,0.474747475
Psychromonas,0.004016137,0.45959596
Sulfitobacter,0.006547438,0.454545455
Flavobacteriaceae,0.003797129,0.449494949
Dokdonia,0.001548948,0.444444444
Pseudoalteromonas,0.002802588,0.409090909
Polaribacter,0.001388578,0.393939394
Erythrobacter,0.005738877,0.393939394
Nonlabens,0.001965591,0.373737374
Thalassotalea,0.006550617,0.368686869
Hellea,0.003788298,0.363636364
Tenacibaculum,0.00214221,0.363636364
Leucothrix,0.002130907,0.363636364
Cellvibrionaceae,0.001668165,0.363636364
Arcobacter,0.001235096,0.353535354
Cryomorphaceae,0.001134953,0.343434343
Sphingorhabdus,0.0041267,0.333333333
Umboniibacter,0.001009907,0.323232323
Lutibacter,0.001004078,0.303030303
Winogradskyella,0.000836997,0.292929293
Loktanella,0.000944205,0.287878788
Flavobacterium,0.001148023,0.287878788
Cyclobacteriaceae,0.000446846,0.287878788
Megaira,0.000399865,0.282828283
NS9_marine_group,0.000598032,0.282828283
Marinifilaceae,0.000881858,0.277777778
Shewanella,0.001177341,0.272727273
Paraglaciecola,0.001040992,0.262626263
Psychrobium,0.003663605,0.262626263
Crocinitomix,0.000347056,0.262626263
Marinicella,0.000605096,0.257575758
Lentibacter,0.002100175,0.257575758
Tateyamaria,0.002391243,0.252525253
Altererythrobacter,0.00484289,0.252525253
Algibacter,0.001549477,0.252525253
Glaciecola,0.000757342,0.247474747
Pseudahrensia,0.001076139,0.242424242
Sedimentitalea,0.001684414,0.242424242
Aliivibrio,0.000904465,0.232323232
Pleurocapsa,0.001385928,0.232323232
Lutimonas,0.000850243,0.232323232
Pseudofulvibacter,0.000633002,0.232323232
Micavibrionaceae,0.000693406,0.232323232
Phormidesmis,0.001283313,0.227272727
Wenyingzhuangia,0.000444373,0.227272727
Aureispira,0.000513608,0.227272727
Octadecabacter,0.001297972,0.222222222
Crocinitomicaceae,0.000349529,0.222222222
Peredibacter,0.000500891,0.217171717
NS11.12_marine_group,0.000380437,0.212121212
Kordia,0.000159487,0.207070707
Olleya,0.004477112,0.207070707
Ulvibacter,0.000735088,0.196969697
Portibacter,0.00033381,0.196969697
Arcticiflavibacter,0.000958511,0.191919192
Neptunomonas,0.00102227,0.181818182
Fluviicola,0.000473868,0.176767677
Aquimarina,0.00063936,0.171717172
Rubidimonas,0.000202935,0.171717172
Draconibacterium,0.000314911,0.171717172
Salinirepens,0.000361892,0.166666667
Amylibacter,0.000378141,0.161616162
Algoriphagus,0.000311202,0.161616162
Amoebophilaceae,0.000573835,0.161616162
NS3a_marine_group,0.000595559,0.156565657
Vibrio,0.000388385,0.156565657
Methylotenera,0.000219007,0.156565657
Sva1033,0.000209293,0.156565657
Clade_Ia,0.000823397,0.151515152
Jejudonia,0.000195517,0.146464646
Halioglobus,0.000557056,0.146464646
Lentimonas,0.000180328,0.141414141
Propionigenium,0.000101732,0.141414141
Marinifilum,0.000247266,0.136363636
HTCC5015,0.00017132,0.136363636
Sulfurimonas,0.000153835,0.131313131
Celeribacter,0.000696938,0.126262626
Croceitalea,0.000463978,0.126262626
Profundimonas,0.000613751,0.126262626
Formosa,0.00053021,0.121212121
Nitrosopumilus,0.000337342,0.121212121
Fulvivirga,0.000143238,0.121212121
Cellulophaga,0.000191455,0.116161616
Aquibacter,0.000366484,0.116161616
Thiothrix,0.000773767,0.111111111
Saccharospirillaceae,0.000234726,0.111111111
Oleispira,0.000218478,0.111111111
Unknown_Family,0.000147477,0.111111111
NS5_marine_group,0.000622935,0.106060606
Pibocella,0.000268637,0.101010101
Psychrosphaera,8.2481E-05,0.101010101
Kistimonas,0.000176795,0.095959596
Marinomonas,0.000188629,0.095959596
NS7_marine_group,0.000216535,0.095959596
Amoebophilus,8.37173E-05,0.095959596
Desulfobulbaceae,0.00013423,0.095959596
Rubritaleaceae,9.23717E-05,0.085858586
Moritella,0.000230134,0.085858586
R76.B128,0.000163019,0.085858586
Sphingomonadaceae,8.70731E-05,0.085858586
Planktomarina,0.000594852,0.080808081
Litoreibacter,0.000425298,0.080808081
Ilumatobacter,0.000193221,0.080808081
BD1.7_clade,5.06896E-05,0.080808081
Oleiphilus,0.000194457,0.080808081
DEV007,8.60134E-05,0.080808081
A4b,6.21698E-05,0.080808081
Sulfurovum,8.67199E-05,0.080808081
Fusibacter,0.000154365,0.080808081
Bacteroidetes,0.000214062,0.080808081
Actinomarina,0.000449142,0.075757576
Psychroserpens,0.000314911,0.075757576
Puniceispirillum,0.000108621,0.075757576
Clade_II,0.000205231,0.075757576
Robiginitomaculum,0.000733145,0.075757576
Taeseokella,5.01598E-05,0.075757576
Lishizhenia,6.14634E-05,0.075757576
Maritimimonas,0.000316854,0.070707071
MD3.55,4.6804E-05,0.070707071
Bernardetia,5.6518E-05,0.070707071
Bacteriovoracaceae,9.57274E-05,0.070707071
Actibacter,0.000148536,0.070707071
Roseobacter,0.000276938,0.065656566
Pseudohongiella,8.97224E-05,0.065656566
Schleiferia,8.15979E-05,0.065656566
Rhizobiaceae,0.00019852,0.065656566
Oleibacter,0.000415761,0.065656566
Spongiibacteraceae,0.000250622,0.065656566
Psychrilyobacter,4.22119E-05,0.065656566
Marimicrobium,0.000105795,0.065656566
possible_genus_03,6.3936E-05,0.065656566
Reichenbachiella,6.87047E-05,0.065656566
Bdellovibrio,9.74936E-05,0.065656566
Oligoflexaceae,2.06644E-05,0.065656566
Alteromonas,9.51976E-05,0.060606061
SAR92_clade,0.000105618,0.060606061
Motilimonas,0.000293011,0.060606061
Methylophagaceae,7.61227E-05,0.060606061
Taibaiella,0.000365248,0.060606061
Pseudomonas,0.000265811,0.060606061
Endobugula,0.000104735,0.060606061
Luteolibacter,0.000135113,0.060606061
Reinekea,8.70731E-05,0.055555556
SUP05_cluster,6.46425E-05,0.055555556
Woeseia,0.000170967,0.055555556
OM27_clade,9.60807E-05,0.055555556
Mycoplasmataceae,0.000158251,0.055555556
Endozoicomonas,2.89655E-05,0.055555556
Desulforhopalus,9.9613E-05,0.055555556
